"no","name","cat","model","qty","cost","price","min"
"0312401","OIL SEAL REMOVER","Oils & Fluids","TVS / Universal","0","3536","4160","5"
"0313010","IMPACT DRIVE SET","General Spare Parts","TVS / Universal","0","16413.5","19310","5"
"0313721","ATTACHMENT FOR VALVE INSTALLER","Engine","TVS / Universal","0","425","500","5"
"0313801","UNIVERSAL CLAMP WRENCH","Electrical","TVS / Universal","0","1589.5","1870","5"
"0330010","SPLIT PIN 2.500","General Spare Parts","TVS / Universal","0","425","500","5"
"0330028","SPLIT PIN 3.205","General Spare Parts","TVS / Universal","0","425","500","5"
"0330038","SPLIT PIN 2.0*18 (ALT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0330048","SPLIT PIN 2.000","General Spare Parts","TVS / Universal","0","425","500","5"
"0330164","CIRCLIP 17_1x1.o N 3RD DRIVE GR","General Spare Parts","TVS / Universal","0","425","500","5"
"0330174","CIRCLIP 20*1.2 N 2ND DRIVE GR","General Spare Parts","TVS / Universal","0","425","500","5"
"0330184","CIRCLIP 26*1.2 N 4TH DRIVE GR","General Spare Parts","TVS / Universal","0","425","500","5"
"0330208","CIRCLIP 8.0 IS:3075 ZNB TYPE E","General Spare Parts","TVS / Universal","0","425","500","5"
"0330230","CIRCLIP 18*1.2 N IS:3075 EXT","General Spare Parts","TVS / Universal","0","425","500","5"
"0330318","WAVE SPRING WASHER M8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0330328","WAVE SPRING WASHER MIO ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0330408","WAVE SPRING WASHER MS ZNB (ALT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0330448","WAVE SPRING WASHER M4 ZEST","General Spare Parts","TVS / Universal","0","425","500","5"
"0331058","HEX aoLT+WAVE SPR WASHER M8x16","General Spare Parts","TVS / Universal","0","425","500","5"
"0331248","HEX BOLT MSX1_OX3S ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0331278","80 LT ENGINE MOUNT LI","Engine","TVS / Universal","0","12.75","15","5"
"0331288","BOLT ENGINE MOUNT L _75","Engine","TVS / Universal","0","425","500","5"
"0331298","80 LT CENTRE STAND (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0331308","BOLT CHAIN ADJUSTER","General Spare Parts","TVS / Universal","0","425","500","5"
"0331318","80 LT REAR SPROCKET","General Spare Parts","TVS / Universal","0","425","500","5"
"0331320","80 LT GEAR SHIFT CAM STOPPER","Brakes","TVS / Universal","0","425","500","5"
"0331348","80 LT REAR TORQUE LINK REAR (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0331508","HEX BOLT MIOX1.25X27 88 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0331645","HEX SCREW M6X12 6.8 ZNK (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0331688","HEX SCREW M6X8 6.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0331708","CRPH SCR M5x12 6.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0331718","CRPH SCR M5x16 6.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0331728","CRPH SCR M5xso 6.8 ZNB (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0331748","CRPH SCR M6x16 6.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0331778","CRPH SCR M4x20 8.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0332018","CRPH SCR M3x4 4.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0332028","CRPH SCR M5x8 6.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0332038","CRPH SCR M5x45 6.8 ZNB (Tsos-0203)","General Spare Parts","TVS / Universal","0","425","500","5"
"0332048","CRPH SCR M5x55 6.8 ZNB ZEST","General Spare Parts","TVS / Universal","0","425","500","5"
"0332068","CRPH SCR M6x12 6.8 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0332098","CRPH SCR M6x80 6.8 ZNB (Tsos-0203) (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0332108","CRR PAN HEAD SCREW M6x45 6.8 ZNB","Engine","TVS / Universal","0","425","500","5"
"0332228","REC CSK HD SCR M6x16 6.8 ZNS","General Spare Parts","TVS / Universal","0","425","500","5"
"0332238","REC CSK HD SCR M6x12 6.8 ZNS","General Spare Parts","TVS / Universal","0","425","500","5"
"0332248","REC CSK HD SCR M6x20 6.8 ZNS","General Spare Parts","TVS / Universal","0","425","500","5"
"0332275","SCREW - CAPH M6x16 6.8 ZNK","General Spare Parts","TVS / Universal","0","425","500","5"
"0332298","SCREW MAGNETO STATOR","Electrical","TVS / Universal","0","425","500","5"
"0332808","CRR PAN HEAD SCREW M5x25","Engine","TVS / Universal","0","425","500","5"
"0333538","STUD BOLT CYLINDER NOI L 123","Engine","TVS / Universal","0","654.5","770","5"
"0333548","STUD BOLT EXHAUST PIPE","General Spare Parts","TVS / Universal","0","425","500","5"
"0333558","STUD BO","General Spare Parts","TVS / Universal","0","425","500","5"
"0334038","HEX NUT MIO 8 ZNS","General Spare Parts","TVS / Universal","0","425","500","5"
"0334047","NUT RR SHOCK ABSORBER","General Spare Parts","TVS / Universal","0","425","500","5"
"0334128","NUT MAGNETO ROTOR","General Spare Parts","TVS / Universal","0","425","500","5"
"0334146","NUT LICENSE PLATE BRACKET","General Spare Parts","TVS / Universal","0","425","500","5"
"0334158","NUT REAR SWING ARM PIVOT","General Spare Parts","TVS / Universal","0","425","500","5"
"0334188","NUT ENGINE MTG","Engine","TVS / Universal","0","425","500","5"
"0334218","HEX NUT MS SESP1301 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0334256","NuT ENGINE SPROCKET (ALTI","Engine","TVS / Universal","0","425","500","5"
"0334268","NUT FR.BR.CABLE ADI-3R","Electrical","TVS / Universal","0","425","500","5"
"0334278","NUT RR BRK ROD ADJ","General Spare Parts","TVS / Universal","0","425","500","5"
"0334398","HEX NuT MIO 8 ZNS (AIT)","General Spare Parts","TVS / Universal","0","425","500","5"
"0334548","HEX NUT MS","General Spare Parts","TVS / Universal","0","6.8","8","5"
"0334558","SLOTTED NuT MIOx1.25 6 (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0334620","SLOTTED NUT M14x1.5 6 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0334630","SLOTTED NuT M12x1.25 6 (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0334640","HEX NUT M20 8 ZNC","General Spare Parts","TVS / Universal","0","595","700","5"
"0335014","SHIM 15x30xLO OILED","Oils & Fluids","TVS / Universal","0","425","500","5"
"0335024","SHIM 17x24xL0 OILED","Oils & Fluids","TVS / Universal","0","425","500","5"
"0335054","WASHER CLUTCH SLEEVE HUB","General Spare Parts","TVS / Universal","0","425","500","5"
"0335068","PUNCHED WASHER 4_3x10.ox08 ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0335078","SHIM ilx9xo_4 ZNS [TSDS0402]","General Spare Parts","TVS / Universal","0","425","500","5"
"0335516","PUNCHED WASHER 8_5x16.oxL2 ZNC (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
"0335528","PUNCHED WASHER ZEST","General Spare Parts","TVS / Universal","0","425","500","5"
"0335538","PUNCHED WASHER","General Spare Parts","TVS / Universal","0","425","500","5"
"0335548","PUNCHED WASHER ZNB","General Spare Parts","TVS / Universal","0","425","500","5"
"0335558","PUNCHED WASHER 5_5x12.oxL0 ZNB (ALTI","General Spare Parts","TVS / Universal","0","425","500","5"
